"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"modelito_110"	0.243176184224752	0.0158943497376108	0.00421249707465481
"2"	"modelito_112"	0.207289871562569	0.0332351261571652	0.00850300335439582
"3"	"modelito_111"	0.138160871258832	0.0361479267541605	0.0102192058662922
"4"	"modelito_109"	0.082014528194184	0.0156056318919915	0.00499258912551681
"5"	"ttarjeta_visa__tend"	0.0482323938268658	0.00048277583693293	0.000234027615258601
"6"	"modelito_106"	0.0173048214519143	0.00447930864211184	0.00460254310008581
"7"	"mdescubierto_preacordado__min"	0.0138314826164603	0.00023896380005154	0.000546064435603401
"8"	"modelito_101"	0.0121211707242737	0.00282304440352396	0.00327638661362041
"9"	"modelito_100"	0.0109507101222629	0.0250457078643698	0.00834698494422342
"10"	"marketing_coss_selling"	0.0105877254479257	0.00303600025581382	0.00280833138310321
"11"	"mcuenta_corriente_Paquete"	0.0094591745556518	0.00264216283197323	0.00335439581870661
"12"	"mcuentas_saldo"	0.00764451100563207	0.0109658440083364	0.00460254310008581
"13"	"modelito_103"	0.00573584612970589	0.00828271813177656	0.00553865356112021
"14"	"Visa_Finiciomora"	0.00508784559980077	0.00141755639253891	0.0020282393322412
"15"	"modelito_102"	0.00432347054112734	0.0117203465745414	0.00444652468991341
"16"	"foto_mes"	0.00384748436529478	0.0120865324765338	0.00998517825103362
"17"	"mvr_msaldopesos__avg"	0.00311044785938677	0.00013938188043243	0.001170138076293
"18"	"mcaja_ahorro_Paquete"	0.00236014721616629	0.000550679471566036	0.0018722209220688
"19"	"mcuentas_saldo__tend"	0.00194472557972279	0.00554272455324738	0.00483657071534441
"20"	"modelito_105"	0.00180498885710507	0.0105230890820404	0.00483657071534441
"21"	"tcajas_depositos"	0.00176462639953384	0.00422974271270205	0.0013261564864654
"22"	"mprestamos_personales"	0.00162306935446105	0.0089332314351412	0.00514860753568921
"23"	"marketing_coss_selling__min"	0.00141430616431836	0.000876681642107062	0.00234027615258601
"24"	"chomebanking_transacciones__tend"	0.001390459507859	0.00597136326808641	0.00569467197129261
"25"	"Master_fultimo_cierre__tend"	0.0012781996126268	0.00275415833055496	0.00608471799672361
"26"	"Visa_fultimo_cierre__tend"	0.00114174812103976	0.00313964095234332	0.00374444184413761
