"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"ttarjeta_visa__tend"	0.261136058224443	0.0140964259537128	0.00797872340425532
"2"	"mcaja_ahorro_Paquete"	0.233560897664625	0.126784802692491	0.0292553191489362
"3"	"tmovimientos_ultimos90dias"	0.0762942382383995	0.0885425594704634	0.0452127659574468
"4"	"tmovimientos_ultimos90dias__min"	0.0506125613242429	0.0233828379261113	0.00797872340425532
"5"	"mcuentas_saldo"	0.046886699839833	0.0331108690009437	0.0478723404255319
"6"	"mv_Finiciomora"	0.0406466874806625	0.0611753056741034	0.0372340425531915
"7"	"mdescubierto_preacordado__avg"	0.0372206531754129	0.00207102274361783	0.00265957446808511
"8"	"mtarjeta_visa_consumo"	0.034233132918533	0.0795744685391508	0.0531914893617021
"9"	"mv_mpagospesos"	0.0308417062995768	0.0140187774969726	0.0106382978723404
"10"	"mprestamos_personales"	0.0286170334335287	0.0336172407100527	0.0531914893617021
"11"	"cliente_antiguedad__tend"	0.0277814904694274	0.0466792320296547	0.0265957446808511
"12"	"tplan_sueldo"	0.0118765011011746	0.0683851702200538	0.0398936170212766
"13"	"mcuentas_saldo__tend"	0.0100570825441309	0.0124224570906084	0.023936170212766
"14"	"ctarjeta_visa_transacciones"	0.00827285580544468	0.0295144330114519	0.0132978723404255
"15"	"mdescubierto_preacordado"	0.00743025538410437	0.00823346032849796	0.0106382978723404
"16"	"marketing_coss_selling"	0.00732842261840147	0.0197067074447109	0.0345744680851064
"17"	"mplan_sueldo"	0.00658849292123968	0.0368564784452392	0.0265957446808511
"18"	"cprestamos_personales"	0.00569946308425692	0.0127921419078549	0.023936170212766
"19"	"mv_marca_atraso__tend"	0.00543936022990791	0.0241760467820363	0.0186170212765957
"20"	"tplan_sueldo__min"	0.00527069215158494	0.00947150200861785	0.0186170212765957
"21"	"tmovimientos_ultimos90dias__tend"	0.00480793899407059	0.0229338581619593	0.0292553191489362
"22"	"marketing_coss_selling__tend"	0.0047332192987113	0.0184267894894322	0.0345744680851064
"23"	"mactivos_margen__min"	0.00428815248200915	0.00240390632292943	0.00797872340425532
"24"	"Visa_marca_atraso__tend"	0.00384111253215218	0.00575243127145338	0.0159574468085106
"25"	"mv_msaldopesos"	0.00286543520165505	0.013913517853651	0.0106382978723404
"26"	"ccomisiones_mantenimiento__tend"	0.00282218758944734	0.0207390203130308	0.023936170212766
"27"	"mrentabilidad"	0.00250371662341181	0.00953157523659331	0.0106382978723404
"28"	"mv_cuenta_estado2"	0.0023986641025782	0.00784761717697093	0.00531914893617021
"29"	"mv_mpagominimo"	0.00224346041561591	0.013462011880617	0.0212765957446809
"30"	"mplan_sueldo__max"	0.00205187916189958	0.00379606930915468	0.00797872340425532
"31"	"mv_msaldototal"	0.00201196355888567	0.0100900936040504	0.0186170212765957
"32"	"mcuenta_corriente_Paquete"	0.00197920752053502	0.00884071050534426	0.0212765957446809
"33"	"mv_Finiciomora__max"	0.00193780809684414	0.00136942246634116	0.00265957446808511
"34"	"Visa_mpagospesos__tend"	0.00156904883026837	0.0105296400936712	0.00531914893617021
"35"	"mv_Finiciomora__tend"	0.00150180990305278	0.000274683638432838	0.00265957446808511
"36"	"mplan_sueldo__avg"	0.00143717499559818	0.0111074794810759	0.0106382978723404
"37"	"Visa_cuenta_estado__tend"	0.00124171572589248	0.00530281273812289	0.0132978723404255
"38"	"mrentabilidad_annual__tend"	0.00123331576174584	0.000477328171486064	0.00265957446808511
"39"	"mdescubierto_preacordado__min"	0.00114242905816447	0.00200426946755909	0.00265957446808511
"40"	"ctarjeta_visa_transacciones__tend"	0.000986259785265604	0.00831975210293297	0.00797872340425532
"41"	"mv_marca_atraso__max"	0.000923716811045802	0.0011958976758976	0.00531914893617021
"42"	"mv_fechaalta__max"	0.000912773440069887	0.0015314639348448	0.00265957446808511
"43"	"mplan_sueldo__tend"	0.000853352158068485	0.00396162404178683	0.00797872340425532
"44"	"mpasivos_margen__tend"	0.00079696327521734	0.00447926738385906	0.0106382978723404
"45"	"mrentabilidad__avg"	0.000727594389081331	0.00196704558969384	0.00797872340425532
"46"	"mcajeros_propio"	0.000659530238464676	0.00209037648036808	0.00265957446808511
"47"	"tcaja_seguridad__avg"	0.000606522491973786	0.00138070158323034	0.00265957446808511
"48"	"tcallcenter"	0.000579813078512372	0.00344785851068158	0.00265957446808511
"49"	"ctarjeta_debito_transacciones"	0.00056278415316194	0.00224789752747774	0.00531914893617021
"50"	"Visa_mpagominimo__max"	0.000514309184452462	0.00221722508537082	0.00265957446808511
"51"	"internet"	0.000485071190478727	0.00275309704794485	0.00797872340425532
"52"	"mv_cuenta_estado2__tend"	0.000457473429557972	0.000210952586534557	0.00265957446808511
"53"	"mrentabilidad__min"	0.000444898942422307	0.00133478452866186	0.00531914893617021
"54"	"marketing_coss_selling__min"	0.000444845576052038	0.00243838189008578	0.00531914893617021
"55"	"mv_mpagominimo__tend"	0.000422400550985281	0.00294495212621382	0.00797872340425532
"56"	"ctarjeta_master_transacciones"	0.000421146583730895	0.00266826421984683	0.00265957446808511
