"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"modelito_109"	0.2940775227719	0.0168332390578444	0.00524834563018179
"2"	"modelito_112"	0.17477867709513	0.0329958264054652	0.00935574655815015
"3"	"modelito_111"	0.165034471719224	0.0339071459924296	0.0100403133794782
"4"	"ttarjeta_visa__tend"	0.0488964401582884	0.000217432556344015	0.000608503841180497
"5"	"modelito_110"	0.0281798270545426	0.0165637860633782	0.00479196774929642
"6"	"modelito_100"	0.0199211141289744	0.027607901042782	0.0068456682132806
"7"	"modelito_106"	0.0169631733995793	0.00767713152922431	0.00479196774929642
"8"	"modelito_101"	0.0143500862027603	0.0118820479070688	0.00448771582870617
"9"	"mdescubierto_preacordado__min"	0.0116192757181178	0.000760980710461207	0.000380314900737811
"10"	"mcuenta_corriente_Paquete"	0.00957076338293195	0.00433679910272588	0.0040313379478208
"11"	"mcaja_ahorro_Paquete"	0.00894855429408379	0.00011938861809755	0.00235795238457443
"12"	"marketing_coss_selling"	0.00747419278659478	0.00232082994933404	0.00243401536472199
"13"	"Visa_Finiciomora"	0.00478906800236269	0.000748529942806174	0.00136913364265612
"14"	"foto_mes"	0.00374014772129357	0.0199117465045785	0.0110291321213965
"15"	"modelito_103"	0.00361838128054149	0.00776722075068172	0.00448771582870617
"16"	"mprestamos_personales"	0.00343171960155007	0.0111188079351074	0.00585684947136229
"17"	"mcuentas_saldo__tend"	0.00293047493714109	0.00574054075662614	0.00479196774929642
"18"	"Visa_cuenta_estado"	0.00194201281539938	0.00208569534706854	0.00129307066250856
"19"	"tcajas_depositos"	0.00170107845599281	0.000846910439739163	0.000836692781623184
"20"	"modelito_105"	0.00143577714756422	0.00769061386667028	0.00486803072944398
"21"	"marketing_coss_selling__tend"	0.00132278329188143	0.00475053718414992	0.00372708602723055
"22"	"Master_fultimo_cierre__tend"	0.00131111253346175	0.002882146732866	0.00600897543165741
"23"	"marketing_coss_selling__avg"	0.00127807689614453	0.00181571154156758	0.00289039324560736
"24"	"mprestamos_personales__tend"	0.00126992047650658	0.00248480930487299	0.00365102304708298
"25"	"mcuenta_corriente_Paquete__avg"	0.00112369224461552	0.00285909583777186	0.00433558986841104
"26"	"mrentabilidad"	0.00106601082045534	0.0018369550684021	0.00357496006693542
"27"	"Master_Finiciomora"	0.00102215702812854	0.00130281613482715	0.00174944854339393
"28"	"tmovimientos_ultimos90dias__tend"	0.00101905486027667	0.00693262995306627	0.00425952688826348
"29"	"chomebanking_transacciones__tend"	0.0010013805594366	0.00494040144400846	0.00387921198752567
"30"	"mv_Finiciomora"	0.000997174133655241	0.00262286263733977	0.00289039324560736
"31"	"Visa_mpagospesos"	0.000983018968331147	0.000234497138201647	0.00304251920590249
"32"	"Visa_fultimo_cierre__tend"	0.000918382851465583	0.00076466761026778	0.00365102304708298
"33"	"marketing_coss_selling__min"	0.000901770019774427	0.00303583948049943	0.00235795238457443
"34"	"ccallcenter_transacciones"	0.000860415245331489	0.00352973602106925	0.00266220430516468
"35"	"cliente_antiguedad__tend"	0.000854518304644869	0.0167988948781021	0.00448771582870617
"36"	"modelito_102"	0.000837972125224782	0.00164221464973154	0.00243401536472199
"37"	"internet__tend"	0.00083034529180406	0.00256956068530868	0.00395527496767323
"38"	"tmovimientos_ultimos90dias"	0.000825563497830099	0.00874366155241127	0.00395527496767323
"39"	"tcaja_ahorro__tend"	0.0007420878423983	0.00578778484591621	0.00235795238457443
"40"	"Visa_tconsumos__tend"	0.000724324852231357	0.00374320752279322	0.00372708602723055
"41"	"mplan_sueldo"	0.000718413756817604	0.0051829548671417	0.00304251920590249
"42"	"Master_Fvencimiento"	0.000716826550629634	0.000883307868888216	0.00463984178900129
"43"	"chomebanking_transacciones"	0.000692039045124394	0.00138693618831382	0.00319464516619761
"44"	"Visa_mpagospesos__tend"	0.000689198558082253	0.00336709500166581	0.0028143302654598
"45"	"mactivos_margen__tend"	0.00068533083820743	0.000380348769070084	0.00311858218605005
"46"	"mcomisiones_mantenimiento__tend"	0.000672171693631112	0.000870822152506801	0.00266220430516468
"47"	"mcuenta_corriente_Paquete__tend"	0.000667947212727357	0.00159880568342408	0.00349889708678786
"48"	"mv_fultimo_cierre__tend"	0.000660335564069117	0.00412612658868688	0.00319464516619761
"49"	"mcambio_monedas_venta__tend"	0.000656660548930834	0.00424528875376823	0.00372708602723055
"50"	"mcuentas_saldo"	0.000646713791200839	0.00368894672528535	0.00251007834486955
"51"	"mcuenta_corriente_Paquete__min"	0.000644034363340436	0.000960361059009838	0.00289039324560736
"52"	"ccomisiones_otras__tend"	0.000640208214070863	0.000218110362593563	0.00349889708678786
"53"	"mrentabilidad_annual__max"	0.000639753763011738	0.00146638439166259	0.00251007834486955
"54"	"mactivos_margen"	0.000638346173353687	0.00111456885624426	0.00212976344413174
"55"	"tcajas_depositos__tend"	0.000630326776530042	0.00651897332945229	0.00273826728531224
"56"	"mcomisiones_otras__max"	0.000628044594545256	0.00030909314931183	0.00152125960295124
"57"	"mv_fultimo_cierre__avg"	0.000611079557476948	0.000172575701458946	0.00190157450368905
"58"	"mprestamos_personales__min"	0.000605722614727684	0.00508758450728744	0.00182551152354149
"59"	"mactivos_margen__avg"	0.000604804755537782	0.00138486329497009	0.0022058264242793
"60"	"mrentabilidad_annual__min"	0.000593128078901014	0.00576087999821514	0.00327070814634517
"61"	"mactivos_margen__min"	0.000588227195641334	0.000973440535247682	0.00235795238457443
"62"	"Visa_fultimo_cierre"	0.000583845439325723	0.00241490591962999	0.00243401536472199
"63"	"Master_fultimo_cierre"	0.000581652350386278	0.00149977994007953	0.00289039324560736
"64"	"mvr_mpagospesos__max"	0.000571878190572176	0.000219598939522798	0.00144519662280368
"65"	"mv_cuenta_estado2__tend"	0.000571051531934389	0.00336442767791342	0.00167338556324637
"66"	"mactivos_margen__max"	0.000562766031625997	0.000230065859355892	0.00258614132501711
"67"	"mcaja_ahorro_dolares__min"	0.000554125847805984	0.00653616090426406	0.0028143302654598
"68"	"Visa_mpagominimo__tend"	0.000550928218581461	0.000605474873844232	0.00235795238457443
"69"	"mcomisiones__tend"	0.000544237302055628	0.000578780229788923	0.0028143302654598
"70"	"Visa_tconsumos__avg"	0.000543118687129747	0.000412003310300276	0.0022058264242793
"71"	"mvr_mpagominimo__tend"	0.00053882778036187	0.000191503796619537	0.00258614132501711
"72"	"ctarjeta_visa_transacciones__tend"	0.000534440059839183	0.0026957606312436	0.00273826728531224
"73"	"Master_marca_atraso__tend"	0.000528727532116779	0.00263907508005958	0.000988818741918308
"74"	"mpasivos_margen__min"	0.000527533841618206	0.00503354253013976	0.0028143302654598
"75"	"mcaja_ahorro_Paquete__min"	0.000523258421689627	0.00272450984859567	0.00273826728531224
"76"	"mrentabilidad__min"	0.000519259081163851	0.000884004173981006	0.00258614132501711
"77"	"tcallcenter__tend"	0.000519219096843697	0.0110095231170322	0.00319464516619761
"78"	"Master_Fvencimiento__min"	0.000517240481088932	0.00052359061877034	0.00296645622575492
"79"	"mv_fultimo_cierre"	0.000516810618059685	0.00229780802828768	0.00266220430516468
"80"	"mcomisiones_otras__avg"	0.000513147244249345	0.00104591312585099	0.00235795238457443
"81"	"mcaja_ahorro_dolares"	0.000511302641838379	0.00245401611822831	0.00228188940442687
"82"	"ccallcenter_transacciones__tend"	0.00050753913709291	0.00323947888963353	0.00289039324560736
"83"	"Visa_mconsumospesos__tend"	0.0005026085740301	0.000338737167909512	0.00273826728531224
"84"	"modelito_104"	0.000502378353270074	0.00344538933745745	0.0028143302654598
"85"	"mvr_mpagado__tend"	0.000497799600392498	0.00148855726338015	0.00334677112649274
"86"	"cliente_edad"	0.000495464413141205	0.000674803052267467	0.00251007834486955
"87"	"Visa_mpagado__tend"	0.000494917366567341	0.00910830673993827	0.00289039324560736
"88"	"Visa_fechaalta"	0.000494455914767339	0.00359563803971265	0.00243401536472199
"89"	"mvr_msaldopesos2__tend"	0.000493793179127347	0.000358034444157622	0.00251007834486955
"90"	"mv_marca_atraso__tend"	0.000493180097399923	0.000715781609202299	0.00106488172206587
"91"	"tmovimientos_ultimos90dias__min"	0.000484985298700794	0.00448024766414957	0.0022058264242793
"92"	"Master_fechaalta"	0.000483991945849667	0.00016557928835362	0.00212976344413174
"93"	"cprestamos_personales__tend"	0.000480340924359387	0.00307417563154754	0.0022058264242793
"94"	"chomebanking_transacciones__avg"	0.000478532999327822	0.000507485359786434	0.00228188940442687
"95"	"mv_tconsumos__tend"	0.00047681074845771	0.000808332798948024	0.00258614132501711
"96"	"mrentabilidad_annual__tend"	0.000475800237204305	0.000492622574188646	0.00258614132501711
"97"	"tcaja_ahorro"	0.000475366343966266	0.000585153802393012	0.00174944854339393
"98"	"cprestamos_personales__avg"	0.000475081154165254	0.000852602328156236	0.00144519662280368
"99"	"mvr_msaldopesos2__avg"	0.000471260471798622	0.00102950903311186	0.00273826728531224
"100"	"ccomisiones_otras"	0.000467661710655399	0.00298698090687194	0.00235795238457443
"101"	"Visa_msaldopesos__tend"	0.00046202666471553	0.000184247126352376	0.00304251920590249
"102"	"mcajeros_propio__tend"	0.000460231165576996	0.000737161231933234	0.00212976344413174
"103"	"mv_Fvencimiento__avg"	0.000459407392500238	0.000263564678776148	0.00243401536472199
