Feature	Gain	Cover	Frequency
modelito_112	0.376139574539467	0.277441401006175	0.146118721461187
modelito_109	0.32826230029768	0.0871629077018439	0.0502283105022831
modelito_111	0.146820954420594	0.153122013344515	0.0958904109589041
modelito_110	0.0465293428247877	0.0617965592889034	0.0410958904109589
modelito_102	0.0321901577161874	0.0300317986765552	0.0136986301369863
modelito_105	0.0208032100395487	0.0228306092644405	0.0182648401826484
modelito_100	0.0173512625158623	0.0712126626246129	0.0593607305936073
modelito_106	0.0113433355716544	0.0329863667380436	0.0319634703196347
modelito_101	0.00305340640215437	0.0262520772522879	0.0273972602739726
modelito_103	0.00248466041402976	0.0159811642660891	0.0136986301369863
modelito_104	0.00235595628827018	0.00920280093285646	0.0136986301369863
foto_mes	0.00108628857271567	0.0124795171431255	0.0410958904109589
mes	0.000777251797657771	0.0177484534824789	0.0228310502283105
mdescubierto_preacordado	0.000760214415368596	0.00910401513731899	0.0136986301369863
mv_cuenta_estado2__max	0.000728029191748811	0.0037308113377231	0.0045662100456621
mcuentas_saldo	0.000456742820154524	0.00444656385006547	0.0136986301369863
marketing_coss_selling__tend	0.000422097679109456	0.00752728456728399	0.0136986301369863
mrentabilidad_annual__tend	0.000319030630828912	0.00631975274232233	0.0091324200913242
Master_Fvencimiento__tend	0.000307891519240162	0.0059047201185997	0.0136986301369863
mcuenta_corriente_Paquete__avg	0.000289869115052567	0.00488200978121424	0.0091324200913242
mpasivos_margen__avg	0.000237184047158988	0.00396931957468625	0.0091324200913242
mcuenta_corriente_Paquete	0.000220926359451015	0.00144021166538768	0.0045662100456621
Visa_fultimo_cierre	0.000172707292536696	0.00232515220530328	0.0045662100456621
mplan_sueldo__avg	0.000170342281666902	0.00189460852239361	0.0045662100456621
mdescubierto_preacordado__tend	0.000153895667933566	0.00248761466347143	0.0045662100456621
mdescubierto_preacordado__min	0.000148606170798165	0.00235389898107738	0.0045662100456621
Visa_cuenta_estado__tend	0.000142737609849834	0.000530418123035957	0.0045662100456621
mcuentas_saldo__tend	0.000137583803448164	0.00164202379470697	0.0045662100456621
mcuentas_saldo__min	0.000134118049889937	0.0025928353291339	0.0045662100456621
tcajas_consultas__avg	0.000129682097394565	0.000508256939234649	0.0045662100456621
mrentabilidad	0.000128726951350125	0.00356932607091388	0.0091324200913242
thomebanking__avg	0.000127251178167012	0.00288548795245794	0.0045662100456621
modelito_107	0.000126264377745346	0.00667591014834106	0.0045662100456621
tmovimientos_ultimos90dias__avg	0.000125734564954804	0.00432962596226018	0.0045662100456621
mv_cuenta_estado2	0.000125460859511616	0.00247522506251672	0.0045662100456621
chomebanking_transacciones__avg	0.000122168039776257	0.00153813993939175	0.0045662100456621
mv_fultimo_cierre	0.000118781696700674	0.00216305527933188	0.0045662100456621
mv_tconsumos__max	0.00011593994295542	0.000988306166179392	0.0045662100456621
tmovimientos_ultimos90dias__max	0.000111396072831974	0.0021455608478222	0.0045662100456621
mv_fultimo_cierre__max	0.000111208702651782	0.00264623467249389	0.0045662100456621
cprestamos_personales__tend	0.000105916328834819	0.00289573571041135	0.0045662100456621
mvr_mconsumototal__tend	0.000104157331627542	0.00105437808456778	0.0045662100456621
mcajeros_ajenos__avg	0.000103563409311886	0.00260108861361948	0.0045662100456621
mtarjeta_master_consumo__avg	0.000103554236716061	0.00188714901585773	0.0045662100456621
Visa_fechaalta__tend	0.000101818828152531	0.0022709933914698	0.0045662100456621
cprestamos_prendarios__min	0.000101649713222358	0.001861425810265	0.0045662100456621
Master_fechaalta	0.000100685712279149	0.00436988534379313	0.0045662100456621
mvr_mpagominimo__tend	9.90771264945385e-05	0.001214128203874	0.0045662100456621
thomebanking__max	9.73336246347717e-05	0.00324394565561948	0.0045662100456621
Visa_fultimo_cierre__avg	9.70448873336148e-05	0.00138704619261064	0.0045662100456621
ccomisiones_otras__avg	9.60267589358086e-05	0.00115746347247316	0.0045662100456621
mv_fechaalta__max	9.52197953572919e-05	0.00170426992629848	0.0045662100456621
Master_mpagominimo__max	9.51724671999632e-05	0.00183345637688683	0.0045662100456621
Visa_tconsumos__max	9.4750302212598e-05	0.000745391197449298	0.0045662100456621
mcaja_ahorro_Paquete__tend	9.47040388481422e-05	0.00119800980171807	0.0045662100456621
