Feature	Gain	Cover	Frequency
modelito_110	0.443701145471964	0.0392179960136654	0.0219414893617021
modelito_112	0.230533495405576	0.027935387129538	0.0113031914893617
modelito_111	0.139151123373947	0.0385472618051115	0.0152925531914894
modelito_100	0.0677883132787728	0.0412778254288816	0.0186170212765957
modelito_109	0.011457619220453	0.0087676469525343	0.00398936170212766
modelito_105	0.00757055928420783	0.0161863647747434	0.0132978723404255
mdescubierto_preacordado__tend	0.00752569788604776	0.0055470050819709	0.00332446808510638
modelito_101	0.00733848156512912	0.0214236665573922	0.011968085106383
modelito_104	0.00249085812967994	0.00773457188735893	0.00531914893617021
mcuenta_corriente_Paquete	0.00203611790389012	0.0122065763068558	0.0126329787234043
modelito_103	0.00183291122522991	0.00337652935946261	0.00398936170212766
modelito_106	0.00167717804401478	0.0091317239276015	0.00797872340425532
foto_mes	0.00154043893391147	0.00910985104088788	0.0132978723404255
mactivos_margen	0.00128813781301448	0.0100939392324834	0.0106382978723404
marketing_coss_selling__tend	0.00118110661288211	0.00980274843669802	0.00731382978723404
mv_cuenta_estado2	0.00108801144420768	0.00605518511705293	0.00598404255319149
mdescubierto_preacordado	0.000855561391121628	0.00744372236091088	0.00465425531914894
mcuentas_saldo	0.000844260571038695	0.00199871270080815	0.00598404255319149
mcaja_ahorro_Paquete	0.000832783641616393	0.00811211809985816	0.00731382978723404
mactivos_margen__min	0.00080570090396164	0.00714487220500234	0.00797872340425532
tmovimientos_ultimos90dias	0.000777821948310926	0.0102574455425329	0.00731382978723404
mactivos_margen__tend	0.000673416976376223	0.00771913582827661	0.00731382978723404
mcomisiones_otras__avg	0.000633648579181207	0.00322089986983646	0.00664893617021277
mrentabilidad__tend	0.000619760544295679	0.00559743097031507	0.0086436170212766
Visa_tconsumos__avg	0.000612971021444917	0.00696528530591634	0.00598404255319149
tcaja_ahorro	0.000601985718437573	0.0112758890193409	0.00531914893617021
marketing_coss_selling__avg	0.000600356400616795	0.00603240384111112	0.00598404255319149
mprestamos_personales__max	0.000572663682798373	0.00439939152344544	0.00465425531914894
Master_Fvencimiento	0.000536101421026199	0.00230058916305047	0.00664893617021277
Visa_mpagospesos	0.000514182206566652	0.00179633822557409	0.00598404255319149
mrentabilidad_annual__tend	0.000510261475987766	0.00474470958876527	0.00598404255319149
mpasivos_margen__avg	0.000509938360526226	0.00215245208105137	0.00465425531914894
tmovimientos_ultimos90dias__min	0.000505291302632972	0.00357009945570073	0.00531914893617021
mcuenta_corriente_Paquete__avg	0.000484928232521772	0.00135227672230918	0.00531914893617021
mv_fechaalta	0.000480081756843378	0.000732652979228836	0.00332446808510638
mcomisiones_mantenimiento	0.000461078515221702	0.00629000964264794	0.00531914893617021
mcuenta_corriente_Paquete__max	0.000457605488209122	0.00189782368408841	0.00531914893617021
Visa_fultimo_cierre__avg	0.000455695262636822	0.00219427315000772	0.00398936170212766
mcuentas_saldo__avg	0.000449295976585976	0.00329263651572876	0.00531914893617021
mrentabilidad__max	0.000447619083012225	0.00314602200658456	0.00531914893617021
mtarjeta_master_consumo	0.000444418423512234	0.00648966278918844	0.00398936170212766
chomebanking_transacciones__avg	0.00043473777110245	0.00301007771514135	0.00465425531914894
cliente_antiguedad__min	0.000432743534160653	0.00388994925017086	0.00531914893617021
marketing_coss_selling	0.000430734264063465	0.00188750555787114	0.00398936170212766
mv_fultimo_cierre__tend	0.000429347443959983	0.00476562677791516	0.00598404255319149
mpasivos_margen__min	0.000428470363314047	0.00205342252562749	0.00398936170212766
mv_tconsumos__avg	0.000428417827161988	0.00480608678481818	0.00531914893617021
mv_fultimo_cierre__max	0.000423421858614028	0.00209621326959347	0.00332446808510638
mv_fultimo_cierre__avg	0.000421664596194357	0.0015353333191262	0.00332446808510638
mpasivos_margen__tend	0.000420689865237442	0.00431982764666407	0.00531914893617021
Master_fechaalta	0.00041453561204153	0.00122436228683995	0.00398936170212766
mv_fultimo_cierre	0.000410221345342551	0.00260169762554907	0.00465425531914894
mrentabilidad__avg	0.000400729841206556	0.00438015091516133	0.00598404255319149
mcomisiones_mantenimiento__tend	0.000398746394729807	0.00313151360406318	0.00465425531914894
mvr_msaldopesos__tend	0.000398276543923839	0.00297411201162132	0.00465425531914894
mttarjeta_visa_debitos_automaticos__tend	0.000397497060647083	0.00540108029248927	0.00398936170212766
Visa_tconsumos__tend	0.000397316083616666	0.00359917955305934	0.00398936170212766
tmovimientos_ultimos90dias__tend	0.000393511693001808	0.00758539824698359	0.00598404255319149
mpasivos_margen	0.000389655758634116	0.0109155810752926	0.00531914893617021
thomebanking__avg	0.000387899152357383	0.00127642969811538	0.00465425531914894
mrentabilidad__min	0.000367111949998052	0.00422306847007063	0.00398936170212766
mvr_msaldopesos2	0.000364564825233489	0.00114785721660794	0.00398936170212766
mcomisiones__min	0.000361890674086856	0.00153826449175182	0.00398936170212766
mactivos_margen__avg	0.000357837836789284	0.00390378788665212	0.00398936170212766
ccomisiones_otras__tend	0.00035596656560151	0.00392429548742016	0.00465425531914894
internet__tend	0.000354870720815484	0.00114759434278507	0.00398936170212766
mcuentas_saldo__tend	0.000354731540178026	0.00162224212511184	0.00465425531914894
mprestamos_personales__tend	0.000353742876264989	0.00361446539227175	0.00332446808510638
mcuenta_corriente_Paquete__min	0.000352859292401701	0.00191810458172986	0.00398936170212766
modelito_102	0.000352237554926364	0.0021457966900085	0.00398936170212766
marketing_coss_selling__min	0.000349538436570757	0.0039266644147047	0.00332446808510638
mv_Fvencimiento	0.000343854804032835	0.00165062077464027	0.00332446808510638
cliente_antiguedad	0.000343501500805796	0.00239340515621129	0.00398936170212766
Visa_Fvencimiento	0.000342001555495316	0.00194271221374805	0.00465425531914894
mactivos_margen__max	0.000339880280433222	0.00145971385657066	0.00398936170212766
ccomisiones_otras__max	0.000331657111215795	0.00257694243567813	0.00398936170212766
mes	0.000329681900662446	0.000876067105714992	0.00199468085106383
mrentabilidad_annual__max	0.000321709341954108	0.00187806310835837	0.00398936170212766
tmovimientos_ultimos90dias__max	0.000317949256758281	0.00170772775481563	0.00199468085106383
