Feature	Gain	Cover	Frequency
modelito_112	0.623232594921544	0.0338258241602172	0.0192405063291139
modelito_111	0.184531927167268	0.0250831778847998	0.0121518987341772
modelito_110	0.0215069793619087	0.00626528040245309	0.0030379746835443
modelito_100	0.0117562415693327	0.015504411644597	0.0111392405063291
modelito_106	0.0100179837281153	0.0116775428115993	0.00962025316455696
modelito_103	0.00855735261716118	0.0059074378902615	0.00506329113924051
modelito_105	0.00313461848775232	0.00757240194791686	0.00658227848101266
foto_mes	0.00306366514079587	0.00574109311313729	0.00759493670886076
Master_fultimo_cierre__tend	0.00147270226500973	0.0023234541724662	0.00607594936708861
mcuentas_saldo	0.00115693067945384	0.00749372327754303	0.00607594936708861
mcuentas_saldo__tend	0.00101911142672078	0.0061607870333098	0.00658227848101266
tcallcenter__tend	0.00097390573200156	0.00700146197073909	0.00708860759493671
mactivos_margen	0.000972746208100648	0.00436894765692434	0.00607594936708861
mcomisiones_otras	0.000948223661267819	0.00231412060615719	0.00556962025316456
Visa_fechaalta	0.000946833187177051	0.00590281305998314	0.00708860759493671
marketing_coss_selling	0.000936674831379521	0.00411906958605125	0.00506329113924051
mprestamos_personales__min	0.000922873168847905	0.008151616458207	0.00556962025316456
mrentabilidad__min	0.00088220720753595	0.00653519064751223	0.00506329113924051
marketing_coss_selling__tend	0.000857264420718108	0.00253367422452408	0.00455696202531646
Visa_mfinanciacion_limite__min	0.000841573856390381	0.0027176910342757	0.00556962025316456
modelito_101	0.000835342403968513	0.00405606128810673	0.00455696202531646
mactivos_margen__max	0.000831307638521666	0.00190184742577523	0.00455696202531646
tmovimientos_ultimos90dias__tend	0.000807073761151699	0.0058615027705659	0.00556962025316456
modelito_102	0.000805957091541695	0.00302332258595799	0.0030379746835443
mv_fultimo_cierre__tend	0.000796528405925379	0.00330537980177643	0.0030379746835443
mdescubierto_preacordado__min	0.000780556254935904	0.0016131865030146	0.00151898734177215
mv_Finiciomora	0.000778899917591078	0.00733339303009474	0.00455696202531646
thomebanking__avg	0.000764900265673883	0.0018761241203878	0.00405063291139241
mdescubierto_preacordado	0.000756857604238581	0.00159928155272181	0.00151898734177215
mrentabilidad_annual__tend	0.000754506487868457	0.0015973347855868	0.00405063291139241
mprestamos_personales__tend	0.00075371177325272	0.00353523571532294	0.00455696202531646
mcuenta_corriente_Paquete	0.000748646691808156	0.00301550640512416	0.00405063291139241
modelito_109	0.000744573730003535	0.000904798972709379	0.0020253164556962
modelito_104	0.000738701021115734	0.00318801704545849	0.00354430379746835
mcaja_ahorro_Paquete__max	0.000712566851853298	0.00360729167382857	0.00506329113924051
ccallcenter_transacciones__tend	0.000703656483189363	0.00173394426700438	0.00506329113924051
mactivos_margen__tend	0.000703188782696498	0.00424338023081364	0.00455696202531646
Visa_mpagospesos__tend	0.000682475084443835	0.00502765971835258	0.00506329113924051
Visa_tconsumos__tend	0.000670455664802246	0.0046924512582335	0.00405063291139241
thomebanking__tend	0.000658822115996779	0.00383040508229974	0.00405063291139241
mcuentas_saldo__max	0.000657451367367551	0.00304314868772925	0.00455696202531646
mpasivos_margen__tend	0.000653145771910955	0.00716774773598985	0.00556962025316456
mpasivos_margen__min	0.000651085176148455	0.00515637300549625	0.00455696202531646
mvr_mpagospesos__avg	0.000647368858158364	0.000940938977827969	0.00354430379746835
mcuenta_corriente_Paquete__avg	0.000632602686008431	0.00211282519044302	0.00455696202531646
chomebanking_transacciones__avg	0.000618619803830197	0.00315447729294268	0.00253164556962025
internet	0.00061610860225158	0.00103255260842022	0.00253164556962025
cliente_edad	0.000599666093125732	0.00415391072141034	0.00455696202531646
Visa_mpagospesos__min	0.000599493260560488	0.00266137913492661	0.00354430379746835
mcuenta_corriente_Paquete__max	0.000595213811694204	0.00296078360225839	0.00455696202531646
tmovimientos_ultimos90dias__min	0.000582554180456459	0.00754859661983491	0.00506329113924051
