Feature	Gain	Cover	Frequency
modelito_111	0.537787069240861	0.419204272686504	0.379746835443038
modelito_112	0.347932672653479	0.282704594889293	0.240506329113924
modelito_110	0.0742007510471147	0.0715300762485166	0.0506329113924051
modelito_109	0.0144890581422881	0.0156807212561846	0.0379746835443038
modelito_100	0.00822480578318746	0.0506923654473804	0.0759493670886076
modelito_103	0.00464144631645274	0.0420402995842378	0.0506329113924051
modelito_106	0.00438263194275279	0.068013834886315	0.10126582278481
modelito_102	0.00384358182876666	0.0193771823377858	0.0253164556962025
modelito_108	0.00297097505094097	0.0201310966768222	0.0253164556962025
modelito_104	0.00152700799415637	0.0106255559869605	0.0126582278481013
