Feature	Gain	Cover	Frequency
modelito_111	0.318174362328888	0.225994332733486	0.179153094462541
modelito_112	0.134446902445765	0.182629702631171	0.156351791530945
modelito_110	0.129285972792026	0.0747230199232562	0.0553745928338762
modelito_101	0.090343350179141	0.0414029035290077	0.0325732899022801
modelito_106	0.0769986109742542	0.0537886135783891	0.0390879478827362
modelito_109	0.0732892819701371	0.0487479080519642	0.0456026058631922
modelito_100	0.0594731518714521	0.078068912470075	0.0684039087947883
modelito_103	0.0327603400429787	0.0453698024766078	0.0390879478827362
modelito_102	0.0323412049102696	0.046211982354492	0.0423452768729642
modelito_108	0.0242425694405437	0.0260845692145577	0.0195439739413681
modelito_104	0.0215581480208032	0.0591895927885076	0.0586319218241042
mes	0.00138471638374051	0.0197691293281557	0.0553745928338762
modelito_107	0.00134677343356208	0.00270587217903002	0.00325732899022801
foto_mes	0.00113300551930885	0.0192129441459686	0.0553745928338762
modelito_105	0.000680667872689311	0.00994017555399039	0.0162866449511401
Master_fultimo_cierre__tend	0.000597605634902853	0.0160750295951815	0.0260586319218241
mdescubierto_preacordado__tend	0.000351346811232361	0.0079887694824041	0.00977198697068404
Visa_fultimo_cierre__avg	0.000270234356292343	0.00790269108260602	0.0162866449511401
mvr_mpagominimo__max	0.0001264948417228	0.00340114566002683	0.00651465798045603
Visa_msaldodolares__tend	8.88551045388356e-05	0.00353303793663866	0.00651465798045603
Visa_fultimo_cierre__min	8.31379417024982e-05	0.00112962488267735	0.00325732899022801
marketing_coss_selling__tend	7.83109166390234e-05	0.00267633648849047	0.00325732899022801
Visa_tconsumos__max	7.58134437098074e-05	0.00100390132564252	0.00325732899022801
mv_fultimo_cierre__avg	6.50945413355473e-05	0.00105690209861423	0.00325732899022801
mv_msaldototal__avg	6.3812362786565e-05	0.00105876585573684	0.00325732899022801
Visa_mconsumospesos__tend	6.05488662458651e-05	0.00109715301585333	0.00325732899022801
Visa_fultimo_cierre	5.46255336781799e-05	0.00202035204811968	0.00325732899022801
mv_mlimitecompra__max	5.24952643340158e-05	0.00181441462055221	0.00325732899022801
mdescubierto_preacordado__avg	5.01454673586515e-05	0.00114809158474715	0.00325732899022801
mvr_mpagospesos__max	4.87744951653358e-05	0.00145142410639477	0.00325732899022801
mv_mconsumospesos	4.75876484381412e-05	0.000487295611658327	0.00325732899022801
Visa_Fvencimiento__tend	4.60193945354181e-05	0.0017722175722165	0.00325732899022801
Visa_fechaalta__tend	4.60135479027317e-05	0.000857776369500256	0.00325732899022801
mvr_mpagospesos__avg	4.56308449165998e-05	0.000695564504857929	0.00325732899022801
ttarjeta_master__min	4.45347922105634e-05	0.00102045014093098	0.00325732899022801
ccomisiones_otras__tend	4.29278603673418e-05	0.00114837567904248	0.00325732899022801
mv_fultimo_cierre	4.15373950579202e-05	0.000753413072337532	0.00325732899022801
Master_fultimo_cierre	4.14639325915629e-05	0.00190899457301944	0.00325732899022801
mv_mpagado__avg	4.06742813764754e-05	0.000751589070706768	0.00325732899022801
ccomisiones_otras	4.06092096533018e-05	0.00136378991441597	0.00325732899022801
mdescubierto_preacordado__min	3.66473257467973e-05	0.00204343274896935	0.00325732899022801
