Feature	Gain	Cover	Frequency
modelito_110	0.383134048896832	0.0605179980933905	0.029940119760479
modelito_111	0.301964238468725	0.228790517288973	0.0598802395209581
modelito_112	0.177097874283714	0.127092162404432	0.0459081836327345
modelito_100	0.0918545977312873	0.0962003824614597	0.0359281437125749
modelito_101	0.00553212078735561	0.0200844397145799	0.00998003992015968
modelito_103	0.00516866019664912	0.0247906892819139	0.0139720558882236
mdescubierto_preacordado__tend	0.00422785233630855	0.0231154037279178	0.0139720558882236
modelito_105	0.00184117324212421	0.0206147114046	0.0119760479041916
mcuenta_corriente_Paquete	0.000997557066198271	0.00672696520885445	0.0139720558882236
mv_cuenta_estado2	0.000936658774532662	0.00846976915261365	0.00598802395209581
Visa_fultimo_cierre	0.000826782558101409	0.00688702386827888	0.0119760479041916
foto_mes	0.000721343449536585	0.0183979241315062	0.0199600798403194
modelito_102	0.000678457978954335	0.0126472213020266	0.0239520958083832
marketing_coss_selling__tend	0.000561808775282629	0.00516016354080664	0.00399201596806387
mrentabilidad_annual__max	0.000558057011776272	0.0124700052479505	0.00998003992015968
tmovimientos_ultimos90dias__max	0.000474125026904366	0.00774934669612684	0.00798403193612774
mactivos_margen__min	0.000458696203404299	0.00871779725118546	0.00798403193612774
mactivos_margen	0.000452527448119275	0.00453448401060759	0.00598802395209581
Master_cuenta_estado	0.000423898264065813	0.00789836478295625	0.00598802395209581
tcaja_ahorro	0.000397530404861099	0.00916412233958972	0.00598802395209581
mvr_mpagospesos__max	0.000346896234728799	0.0052629653252484	0.00598802395209581
Visa_fechaalta__tend	0.000287706896879129	0.00397217070548199	0.00399201596806387
mactivos_margen__max	0.000280482987298498	0.00250051672854637	0.00798403193612774
mcaja_ahorro_Paquete	0.000278385055269825	0.00357644148443799	0.00998003992015968
mes	0.000270777618659767	0.0034327676176722	0.00399201596806387
Master_Fvencimiento	0.000267828521029838	0.00327754458994868	0.00798403193612774
Visa_cuenta_estado	0.000264584472620542	0.00121315705581687	0.00199600798403194
mcuenta_corriente_Paquete__tend	0.000258092699326726	0.00306724994618918	0.00798403193612774
ccomisiones_otras__tend	0.000249077236817965	0.00248790296066634	0.00998003992015968
ccomisiones_otras__avg	0.000247026577053674	0.00305180680518147	0.00998003992015968
mrentabilidad_annual	0.000245187608793439	0.00218445379235487	0.00598802395209581
Master_fultimo_cierre__tend	0.000242745114357815	0.0036512152495697	0.00598802395209581
mcomisiones__tend	0.000239345434299832	0.00176266139866718	0.00798403193612774
mv_fultimo_cierre__tend	0.000236980271348746	0.00312903425570761	0.00998003992015968
Visa_mpagospesos	0.000235577547814943	0.00226975159471877	0.00199600798403194
mpasivos_margen	0.000233829507368747	0.00246761766427427	0.00598802395209581
mcuenta_corriente_Paquete__max	0.000231762300474034	0.00411751477093771	0.00798403193612774
mcaja_ahorro_Paquete__max	0.000214870400775998	0.00166405291223052	0.00798403193612774
thomebanking__max	0.000212573539878839	0.00125301506163841	0.00399201596806387
Visa_mpagospesos__max	0.000212404208232893	0.000761458309517577	0.00399201596806387
tmovimientos_ultimos90dias	0.000200308879843872	0.00233817240652579	0.00399201596806387
mpasivos_margen__avg	0.000199282518529706	0.00254988343786432	0.00199600798403194
Master_Fvencimiento__tend	0.000197080205580639	0.00198244240503066	0.00598802395209581
Visa_mpagominimo__max	0.000195502048146761	0.00259236957912651	0.00598802395209581
mrentabilidad__tend	0.000190467493200908	0.0016147925284165	0.00598802395209581
Master_fechaalta__min	0.000187803444836092	0.00388592830482667	0.00598802395209581
tcuentas__avg	0.000184227960580535	0.00209887509478935	0.00399201596806387
modelito_106	0.000182376407800547	0.00261976701737169	0.00399201596806387
cprestamos_personales__tend	0.000179797580005547	0.00452004725447777	0.00399201596806387
modelito_109	0.000179797550319578	0.00503302602224204	0.00399201596806387
Visa_Fvencimiento__tend	0.0001785315268679	0.00132233320583755	0.00399201596806387
mcuenta_corriente_Paquete__avg	0.000178234649220428	0.00239068328303958	0.00598802395209581
mcomisiones__avg	0.000175115234790007	0.0013666832043602	0.00598802395209581
mvr_Visa_mlimitecompra__tend	0.000173980537016566	0.00572890573328944	0.00399201596806387
mpasivos_margen__tend	0.000172814171540774	0.00153172672407499	0.00598802395209581
mv_Fvencimiento	0.000169416400244009	0.00151602661815813	0.00598802395209581
Master_marca_atraso__tend	0.000167700294673891	0.00442588505388362	0.00199600798403194
