Feature	Gain	Cover	Frequency
modelito_109	0.428159741437062	0.02949620977838	0.0180831826401447
modelito_111	0.213081759903163	0.0481612011745135	0.0180831826401447
modelito_112	0.178993992410156	0.0424334496523626	0.0207956600361664
modelito_100	0.0580789865530063	0.0361569125929591	0.0171790235081374
mdescubierto_preacordado__tend	0.00948243472744956	0.00748409409849806	0.00452079566003617
modelito_105	0.00800630622385116	0.0194717220458666	0.011754068716094
modelito_104	0.00552853211059358	0.0057667526123809	0.00723327305605787
marketing_coss_selling__tend	0.00277501387982117	0.0130488598975444	0.0081374321880651
modelito_101	0.00270872583276775	0.00971324678410553	0.0126582278481013
modelito_102	0.00246711375553225	0.00800517170339633	0.00632911392405063
mcuenta_corriente_Paquete	0.00193151120302852	0.00682426435522957	0.00994575045207957
mv_cuenta_estado2	0.00179439512855166	0.00366366513093623	0.0054249547920434
modelito_110	0.00178194693402003	0.00981122451026451	0.00632911392405063
foto_mes	0.00166530404093521	0.00471357414251215	0.0126582278481013
mactivos_margen	0.00158757846323784	0.00695366728410239	0.00994575045207957
modelito_103	0.00138924257847515	0.00501280123038502	0.00361663652802893
modelito_106	0.00117052998482491	0.00662742886500486	0.00452079566003617
mprestamos_personales__avg	0.00104796278697854	0.0115041187570896	0.0081374321880651
mactivos_margen__min	0.00100954570806172	0.00548719590278512	0.00723327305605787
mrentabilidad_annual__tend	0.000937168642200686	0.00942226646199039	0.0108499095840868
marketing_coss_selling__avg	0.000863741597646604	0.00816200671105564	0.0081374321880651
mcuenta_corriente_Paquete__tend	0.000764577061782606	0.0042239204805399	0.00904159132007233
tcallcenter__tend	0.000712741088054013	0.0067626789803864	0.00361663652802893
mactivos_margen__tend	0.000692445339189032	0.00740598724464122	0.0081374321880651
tcaja_ahorro	0.000690007375253105	0.0109410718705692	0.0054249547920434
mpasivos_margen__min	0.000677121154793032	0.00905517667832562	0.0081374321880651
cliente_antiguedad__min	0.000660136265864425	0.00519591969228941	0.00723327305605787
