Feature	Gain	Cover	Frequency
modelito_112	0.53823189392858	0.159557373319018	0.114754098360656
modelito_111	0.277332507929413	0.419167131574302	0.327868852459016
modelito_110	0.1599201448653	0.181314557720126	0.114754098360656
modelito_100	0.0121440001637005	0.058122739556907	0.0655737704918033
modelito_106	0.00384077549709122	0.0283675062787758	0.0327868852459016
modelito_104	0.0027611953629639	0.0173760447952825	0.0163934426229508
modelito_103	0.00238926516739266	0.0239431839162991	0.0163934426229508
modelito_101	0.000942059355584971	0.0120887652958752	0.0163934426229508
mv_fechaalta__tend	0.000363502604483435	0.00893747856650172	0.0327868852459016
modelito_107	0.000269056248342296	0.00903539579468612	0.0163934426229508
mv_fultimo_cierre__tend	0.000174286176979585	0.0102432730877713	0.0327868852459016
Visa_fultimo_cierre	0.000162930367482887	0.00785791851769454	0.0163934426229508
mprestamos_personales__min	0.000151999886007136	0.0109900882933708	0.0163934426229508
mv_mconsumospesos	0.000150007137074151	0.00419574319954974	0.0163934426229508
mvr_mconsumosdolares__max	0.000140102776130171	0.00745041782494446	0.0163934426229508
mdescubierto_preacordado	0.000139834508300148	0.00637047657019854	0.0163934426229508
modelito_102	0.000125366826265624	0.00638060606421742	0.0163934426229508
mv_tconsumos__avg	0.00012524035702792	0.00372297441924825	0.0163934426229508
Visa_fultimo_cierre__tend	0.000119711622430819	0.00330229255812051	0.0163934426229508
tcuentas__min	0.000116089914459514	0.0101891689472405	0.0163934426229508
foto_mes	0.000106233942852251	0.00278955821940828	0.0163934426229508
marketing_coss_selling__tend	0.000100439637585538	0.00349369788729151	0.0163934426229508
Master_fultimo_cierre__tend	9.75820305981581e-05	0.00363082432988803	0.0163934426229508
ccomisiones_otras__max	9.5773693954366e-05	0.00147278326328324	0.0163934426229508
