Feature	Gain	Cover	Frequency
modelito_110	0.402693157591066	0.0261358018907995	0.00817641228939544
modelito_111	0.119283567313397	0.0171736366462736	0.00619425173439049
modelito_112	0.0899570460244575	0.012423064206424	0.00520317145688801
modelito_109	0.0460800284004419	0.00982492652334757	0.00470763131813677
modelito_100	0.0457151263754996	0.0173560564239575	0.00743310208126858
ttarjeta_visa__avg	0.0255113635723979	0.00414421025702399	0.0012388503468781
modelito_101	0.0222433801327671	0.0127017133203371	0.00644202180376611
mcaja_ahorro_Paquete__min	0.0133814933786062	0.00263641069922248	0.00272547076313181
mdescubierto_preacordado__tend	0.00997819561444969	0.0102479021647562	0.00173439048562934
modelito_104	0.00596550635330067	0.00428841881342491	0.00371655104063429
ttarjeta_visa__tend	0.00564338930042265	0.00224478979721357	0.000743310208126858
tmovimientos_ultimos90dias__min	0.00526704953382157	0.0032625365069483	0.00346878097125867
marketing_coss_selling__tend	0.00500283621664253	0.0135611917470102	0.00421209117938553
tplan_sueldo	0.00499991587546241	0.00757010672350424	0.00222993062438057
mv_cuenta_estado2__max	0.00479576309484513	0.00147061647455852	0.000495540138751239
mcuenta_corriente_Paquete	0.00463065747639147	0.00653316615963731	0.00569871159563925
mcaja_ahorro_Paquete	0.00456899425406844	0.00567905107753635	0.00371655104063429
mv_marca_atraso	0.00396513530503973	0.00334080229352193	0.00173439048562934
modelito_103	0.00394236108771504	0.00341120208451237	0.00371655104063429
ctarjeta_visa_transacciones	0.00379877642475792	0.00837697326203663	0.00421209117938553
modelito_106	0.0031801656527959	0.00612667310562729	0.00495540138751239
modelito_102	0.0030373139510565	0.00189563961493728	0.00297324083250743
mdescubierto_preacordado	0.0022342875316628	0.00507685071938992	0.00198216055500496
ctarjeta_debito_transacciones	0.0022010634400622	0.00102906906503048	0.000991080277502478
mplan_sueldo	0.00202532406624583	0.00553576761523	0.00346878097125867
mv_Finiciomora__avg	0.0020023086012568	0.00335124843122277	0.00148662041625372
mactivos_margen	0.00193372190101972	0.00480820704715814	0.00470763131813677
modelito_105	0.00172474335012536	0.00316406677671295	0.00396432111000991
mcaja_ahorro_Paquete__tend	0.00169893247197525	0.00258585148677492	0.00272547076313181
mv_mpagospesos	0.00154311202780718	0.000416377285609609	0.000991080277502478
Visa_Finiciomora__tend	0.0014042635719374	0.00219425250818612	0.000991080277502478
mprestamos_personales	0.00139863109314517	0.00507218530389558	0.00322101090188305
mv_cuenta_estado2	0.00137600281184855	0.00441366957919223	0.00173439048562934
cextraccion_autoservicio	0.00128058173749093	0.00161344414674746	0.000991080277502478
tmovimientos_ultimos90dias__tend	0.00127681404179113	0.00776687942812762	0.00619425173439049
mcuentas_saldo	0.0012568645518383	0.00989849855655909	0.00545094152626363
modelito_108	0.00125065164787185	0.00473308442565571	0.00495540138751239
mv_mpagominimo__tend	0.00118005907447676	0.00252277499414574	0.00322101090188305
tmovimientos_ultimos90dias	0.00116634888764251	0.00489403579279441	0.00396432111000991
mtarjeta_visa_consumo	0.00115975507050108	0.00317076631092664	0.00222993062438057
mrentabilidad__min	0.00115693127789314	0.00719992473992248	0.00520317145688801
mv_mpagospesos__max	0.00113571014089871	0.00209433100731658	0.00148662041625372
mvr_mconsumospesos	0.00112665138289521	0.000648486008333905	0.0012388503468781
mv_fechaalta__tend	0.00109822587780742	0.00355544511446047	0.00445986124876115
mprestamos_personales__max	0.00107932584274911	0.00452508036289861	0.00322101090188305
Visa_Fvencimiento__tend	0.0010623672190033	0.00329282467909267	0.00445986124876115
marketing_coss_selling	0.00106015265271981	0.00659933450575226	0.00396432111000991
mrentabilidad	0.00103953782285109	0.00429678705770877	0.00396432111000991
thomebanking__tend	0.00101335228210516	0.00583476696615866	0.00693756194251734
mrentabilidad__avg	0.00100204008517551	0.00436392628702076	0.00445986124876115
mttarjeta_visa_debitos_automaticos__tend	0.000932292169026043	0.00674134648879614	0.00470763131813677
modelito_107	0.000927880593288326	0.000645594249315672	0.0012388503468781
mprestamos_personales__tend	0.000914689863457394	0.0092013356662873	0.00421209117938553
mcuenta_corriente_Paquete__tend	0.000908683560657452	0.00337058326765887	0.00470763131813677
mcuenta_corriente_Paquete__avg	0.000904494682601948	0.00420287327508468	0.00421209117938553
Visa_marca_atraso__tend	0.000855474712577103	0.00423626858764043	0.00173439048562934
mpasivos_margen__avg	0.000817320276167817	0.00273946159732157	0.00297324083250743
mv_tconsumos__tend	0.000797826151337411	0.00302184736194674	0.00247770069375619
Master_fechaalta__avg	0.000796226717819243	0.00290660007043757	0.00346878097125867
mv_fechaalta__max	0.000768018972934189	0.0015775777898166	0.00198216055500496
cliente_antiguedad__tend	0.000764655836098843	0.0207461034696916	0.00322101090188305
mcomisiones_otras__max	0.000761059010963337	0.00352633234977334	0.00421209117938553
mactivos_margen__min	0.000740637629973962	0.00418053963893513	0.00371655104063429
mprestamos_personales__avg	0.000733996930876841	0.00287302207353613	0.00222993062438057
foto_mes	0.000732447444733767	0.00233161373981874	0.00445986124876115
Visa_tconsumos__avg	0.000725079848755778	0.00630481342455673	0.00495540138751239
Visa_fultimo_cierre	0.000721611559916055	0.00625272628811256	0.00445986124876115
Master_Finiciomora	0.000715256214542675	0.00338650687212052	0.0012388503468781
marketing_coss_selling__min	0.000709424143850539	0.00178021403862575	0.00371655104063429
tcallcenter	0.00070294274604692	0.00333703757259708	0.00148662041625372
tcallcenter__tend	0.000688232967809838	0.00539907826248623	0.00445986124876115
