Feature	Gain	Cover	Frequency
modelito_111	0.294134928984338	0.130593600099847	0.104938271604938
modelito_112	0.260391017396432	0.150727362806632	0.12962962962963
modelito_109	0.249209251566668	0.0876579777101415	0.0740740740740741
modelito_100	0.111254898938047	0.147036909602585	0.12962962962963
modelito_110	0.0297982841926571	0.0484865902600031	0.0493827160493827
modelito_101	0.0228577373270132	0.0795315679836969	0.0555555555555556
mdescubierto_preacordado__tend	0.00754308160362657	0.0576617691674349	0.0555555555555556
modelito_105	0.00441501343249343	0.0505012565280551	0.0493827160493827
modelito_106	0.00286081856722501	0.0163058491996175	0.0185185185185185
modelito_104	0.00254060076616429	0.00782199469625116	0.0123456790123457
mcuenta_corriente_Paquete	0.00209532675492419	0.0210481364795584	0.037037037037037
modelito_103	0.002090741276047	0.0203528916300865	0.037037037037037
marketing_coss_selling__tend	0.00200266606189931	0.0285627325557523	0.037037037037037
modelito_102	0.00172761752359205	0.0278108046096542	0.0246913580246914
mcuentas_saldo__tend	0.000926884948620138	0.0130764629881789	0.0185185185185185
mactivos_margen__min	0.00085606795066185	0.0198855914402481	0.0246913580246914
mvr_mpagospesos__tend	0.000704140752195635	0.01916837397106	0.0185185185185185
mpasivos_margen__avg	0.000695762543200969	0.0114281465942468	0.0185185185185185
mvr_mpagominimo__tend	0.000307571740860815	0.000911545451514202	0.00617283950617284
mvr_msaldopesos__max	0.000288492568377762	0.00512430583401552	0.00617283950617284
mv_Finiciomora__max	0.000284240144833761	0.00820227218270378	0.00617283950617284
internet	0.000272694317287402	0.00380721858776147	0.00617283950617284
Visa_fultimo_cierre__avg	0.000270826341261818	0.00418132234590786	0.00617283950617284
Visa_fechaalta__tend	0.000236296340161909	0.000923321795397829	0.00617283950617284
mvr_Master_mlimitecompra	0.000235487751866763	0.00438867494805496	0.00617283950617284
Master_fultimo_cierre__max	0.000230737929687741	0.00336574778924802	0.00617283950617284
mrentabilidad__min	0.000212216083532047	0.00740417288522417	0.00617283950617284
mv_mfinanciacion_limite__max	0.000210685364176488	0.00264599183309599	0.00617283950617284
Visa_cuenta_estado	0.000208032850444232	0.00219794754132828	0.00617283950617284
mactivos_margen__avg	0.000204050529358315	0.00219452455030781	0.00617283950617284
ttarjeta_visa__min	0.000196867086950313	0.00236913775461456	0.00617283950617284
foto_mes	0.000195110626408015	0.0031832374397404	0.00617283950617284
chomebanking_transacciones__avg	0.00019295952322954	0.00346119874094923	0.00617283950617284
Master_fechaalta__tend	0.000183383420047531	0.00457655658340788	0.00617283950617284
mpasivos_margen__min	0.000165506795709736	0.0034048054136785	0.00617283950617284
